value,timestamp
0.464,1474709352144
0,1474709353151
0.944,1474709379155
0.939,1474709380166
0,1474709381158
0.944,1474709382158
0.94,1474709383160
0,1474709384161
0.946,1474709388171
0.94,1474709389165
0,1474709390167
0.95,1474709392168
0.949,1474709393162
0,1474709394175
0.951,1474709399170
0.945,1474709400213
0,1474709401194
0.94,1474709420392
0.946,1474709421403
0,1474709422393
0.94,1474709449394
0,1474709451484
0.94,1474709455413
0,1474709457449
0.939,1474709459452
0.935,1474709460560
0,1474709461451
0.939,1474709465457
0.935,1474709466458
0,1474709467459
0.939,1474709507515
0.945,1474709508482
0,1474709509505
0.939,1474709531568
0.935,1474709532570
0,1474709533572
0.94,1474709555669
0.946,1474709556672
0,1474709557683
0.945,1474709559668
0.939,1474709560666
0,1474709561671
0.943,1474709580762
1.011,1474709581761
0,1474709582758
1.019,1474709590766
1.017,1474709591802
0,1474709592792
0,1474709597805
0.946,1474709601791
1.017,1474709602816
0,1474709603794
1.012,1474709604808
1.011,1474709605837
0,1474709606809
0.94,1474709611915
1.011,1474709612919
0,1474709613899
0.946,1474709620004
1.006,1474709620904
0,1474709621997
0.94,1474709623904
1.012,1474709624919
0,1474709625901
0.464,1474709637931
1.536,1474709638919
1.011,1474709639928
0,1474709640985
0.94,1474709641966
1.011,1474709642977
0,1474709643961
0.949,1474709645970
1.013,1474709646972
0,1474709647963
1.019,1474709663091
1.017,1474709664104
0,1474709665098
0.94,1474709679102
1.007,1474709680105
0,1474709681101
0.462,1474709682111
0.499,1474709683129
0,1474709684110
1.897,1474709687177
0,1474709688152
0.951,1474709690151
1.011,1474709691157
0,1474709692209
0.5,1474709705152
0.502,1474709706154
0,1474709707152
0.464,1474709711217
0.502,1474709712213
0,1474709713212
0.464,1474709717215
0.502,1474709718221
0,1474709719218
1.011,1474709737231
0.999,1474709738231
0,1474709739230
0.464,1474709740229
0.501,1474709741231
0,1474709742231
0.94,1474709745236
1.004,1474709746235
0,1474709747237
1.019,1474709753240
1.012,1474709754241
0,1474709755244
0,1474709757245
1.019,1474709765251
1.018,1474709766251
0,1474709767250
1.018,1474709772259
1.013,1474709773253
0,1474709774258
1.018,1474709777262
1.016,1474709778257
0,1474709779260
0,1474709796262
1.019,1474709910563
1.011,1474709911511
0,1474709912504
1.017,1474709915511
1.019,1474709916501
0,1474709917522
0.946,1474709923505
1.011,1474709924510
0,1474709925512
0.946,1474709932516
1.017,1474709933525
0,1474709934521
0.946,1474709944526
1.006,1474709945509
0,1474709946525
0.944,1474709998623
1.019,1474709999600
0,1474710000619
0.94,1474710002620
1.012,1474710003600
0,1474710004629
0.946,1474710011613
1.018,1474710012625
0,1474710013621
0.464,1474710022715
1.537,1474710023713
0,1474710025775
0.946,1474710052759
1.018,1474710053757
0,1474710054759
0,1474710060761
1.017,1474710066800
1.012,1474710067761
0,1474710068793
0.501,1474710072792
0.499,1474710073767
